Name	x	y
*_*	-0.008145542815327644	-0.00472559779882431
-385-	0.021699801087379456	0.03486688807606697
0	0.09521108120679855	0.050432488322257996
02-Nameless	0.0740131065249443	0.09945306181907654
15 Jhons Lee	0.0958792194724083	0.0353560633957386
1st R.S.P	0.08354373276233673	0.10844980180263519
2 Plus 2 Equals Death	0.07672573626041412	0.05755948647856712
20 Oxlajuj Ak'abal 12	0.10225167125463486	0.051776569336652756
20000	0.09092317521572113	0.03982561081647873
2nd Alsiel	0.0005476828082464635	-0.0036311170551925898
2nd Death Star	0.12376534193754196	0.06289844214916229
808080	0.0971103087067604	0.09815843403339386
A-Allen	0.04923468455672264	0.06673947721719742
A-B-D	0.018801413476467133	0.10747552663087845
A-Haoumaru	0.07252718508243561	0.06694557517766953
A-Kain	0.042090825736522675	0.08734212070703506
A-Rock	0.0514809712767601	0.044343095272779465
A-Rozwel	0.04266547039151192	0.008784390054643154
A-Tina	0.10432547330856323	0.02455204352736473
A-Zepia	0.04452504590153694	0.06595633924007416
A.I.Y.	0.06065782904624939	0.04447204992175102
Aaron Roulette	0.01930518075823784	0.08379124850034714
Aba Reimu	0.04793154075741768	0.07879852503538132
Abyss Mega'S	0.03318732604384422	0.05126221477985382
Abyss of Heaven	0.07620043307542801	0.0018247343832626939
Accelerator EX	0.09149289131164551	0.06900448352098465
Accelerator KA	0.0779394805431366	0.019651053473353386
Adel-HAAAAAi	0.10086818784475327	0.0648965910077095
Adelheid AZ	0.05166635289788246	0.051160890609025955
AhojinGod	0.08937965333461761	0.10448405146598816
Aika MK	0.05612063407897949	0.08009130507707596
Aimatika	0.06247970461845398	0.006901113782078028
Aizen Sousuke	0.024121427908539772	0.07262302935123444
Akemi Miyazaki	0.01015378162264824	0.055938925594091415
Akiha-J	0.06604788452386856	0.021793032065033913
Akiha-R	0.03713304176926613	0.0381026454269886
Akuma X	0.07776180654764175	0.06465073674917221
Alelulia Brunestud	0.03493043780326843	0.08177637308835983
Alexandrite	0.01843327283859253	0.09134458005428314
Alice's Goliath Doll	0.013023651205003262	0.020273638889193535
Aligeltar	0.018987488001585007	0.02859225869178772
Alma Orochi	0.06020268052816391	0.0837850347161293
Almadel	0.08008889108896255	0.12576034665107727
Alpha Zero	0.11497536301612854	0.13261811435222626
Alphax	0.044829804450273514	0.00798323005437851
Alucard EX	0.08822851628065109	0.05982997640967369
Amaterasu Remilia	0.03220357745885849	0.004279118496924639
Amber Lamps	0.06765979528427124	0.08472427725791931
AMX-002 Neue Ziel	0.11911645531654358	0.06455577909946442
Anomalocaris	0.06353313475847244	0.03934066742658615
