Match ID:800977, Blue: Aldo (dupe), Red: SF3 Urien
Match ID:800634, Blue: Aldo (dupe), Red: Alpaca Suri
Match ID:799486, Blue: DQ5 Son / Black Panther (old), Red: MG-FV Madotsuki / Ultraman Gaia_A
Match ID:799443, Blue: Kona-chan (old), Red: Billy Kane FFSP
Match ID:799434, Blue: Scooter Dio ⇒ Kazuma Kiryu ⇒ Pac-Man (old) ⇒ Alpha Tiger Woods, Red: Phone ⇒ Magical Geese ⇒ Taiyo no Tou ⇒ Amber Lamps
Match ID:799055, Blue: Antman (old), Red: Alpaca Suri
Match ID:798243, Blue: MVC2 Hulk EX, Red: Bowser SSBB (old)
Match ID:798242, Blue: Divekick Kung Fu Man ⇒ Rare Zabi ⇒ Pac-Man (old) ⇒ The Creepy Clock, Red: Kappa ⇒ Thunder Mask ⇒ Windows 95 Pro Edition ⇒ Segalow
Match ID:797915, Blue: 1st Dio, Red: Yukina (old v2)
Match ID:796567, Blue: Evil Dan / Yukina (old v2), Red: Date Genji
Match ID:794353, Blue: Yamada_mm, Red: Full Moon Sion TATARI AACC (old)
Match ID:794191, Blue: Magic Pot ⇒ Yuiran ⇒ Colossus EX, Red: Masked Rider Agito Burning Form ⇒ Proofed Up Matt ⇒ Knuckles L6 (old)
Match ID:794187, Blue: Guile_A ⇒ Kona-chan (old) ⇒ Ryuuguu Rena, Red: Iron Patriot ⇒ Avdol by Camrat ⇒ Cammy HD
Match ID:794102, Blue: Toguro 30%, Red: El Fuerte (old)
Match ID:794087, Blue: Snow ⇒ CvTW Sol Badguy ⇒ Iwa-Ku (old), Red: CvTW Superman ⇒ Demon Type-Zero ⇒ Jaan SFT
Match ID:794079, Blue: Yoshi ⇒ Jo Jo ⇒ Alpaca, Red: Snow ⇒ CvTW Sol Badguy ⇒ Iwa-Ku (old)
Match ID:793938, Blue: Cream L6, Red: Knuckles L6 (old)
Match ID:793529, Blue: Tukihime ⇒ Mahilo (old) ⇒ A_Geese ⇒ Leiche, Red: Neo Sekundes ⇒ Black Goddess Patchouli ⇒ Almadel ⇒ Honki Ultraman
Match ID:793268, Blue: El Fuerte (old) ⇒ Kim Kaphwan, Red: Golgo13 ⇒ Drizzy Drake
Match ID:792631, Blue: El Fuerte (old) / Kyogoku Majikina Mioh, Red: 2nd Death Star / Spark Kung Fu Man
Match ID:792477, Blue: Megaroman ⇒ Boxxob ⇒ Salty Surfer ⇒ Pac-Man (old), Red: Dee Bee Kaw ⇒ Age of Touhous ⇒ Commander Keen ⇒ Tora Shou
Match ID:791968, Blue: Kim Kaphwan KOF02UM, Red: Black Panther (old)
Match ID:791831, Blue: Bowser SSBB (old), Red: Fate Copy / Reimu Hakurei
Match ID:791776, Blue: KK Jyashinsai ⇒ Wyler XI ⇒ Ran Yakumo ⇒ 02, Red: Madara ⇒ Antman (old) ⇒ CVS Geese Howard ⇒ Osage Akari
Match ID:791768, Blue: Enegori, Red: Kagerou_F (old)
Match ID:791529, Blue: Crescent Sion TATARI AACC (old) ⇒ Fullmoon Suika ⇒ Ragna ⇒ Mohikan, Red: Shin Shishi-Oh ⇒ Alfred_A ⇒ Wyler XI ⇒ Mickey Mouse X
Match ID:791521, Blue: Eclipse Sion TATARI AACC (old), Red: STG Inu Sakuya
Match ID:791031, Blue: Pac-Man (old) / Baitang KOFA, Red: Polandball / Guruguru Flan
Match ID:790939, Blue: SSFIV Oni (old) ⇒ MVC Litchi Faye Ling, Red: Shanghai Alice ⇒ Doomsday
Match ID:790890, Blue: Deluxe Lucia Fernandez (old), Red: Megaman NEO
Match ID:790877, Blue: Arsene Lupin, Red: El Fuerte (old)
Match ID:790825, Blue: Seismitoad, Red: SSFIV Oni (old) / Shadow Lady
Match ID:790586, Blue: Marin di Aquila / Undead Thundra, Red: Kyle Dunamis / Knuckles L6 (old)
Match ID:790585, Blue: Kyle Dunamis / Knuckles L6 (old), Red: Musashi / Agumon
Match ID:790582, Blue: Kyle Dunamis / Knuckles L6 (old), Red: Ryuuguu Rena / Hammerin' Harry
Match ID:790576, Blue: Kyle Dunamis / Knuckles L6 (old), Red: Maori-H / Windows 97
Match ID:790529, Blue: Disc, Red: Serena (old)
Match ID:790340, Blue: Hel'Lauren ⇒ Yuyuko Kurogane (old) ⇒ Felicia_p, Red: Sanic ⇒ Rencyon ⇒ SeyaRen
Match ID:790091, Blue: CVS Ryu Chaos, Red: El Fuerte (old)
Match ID:789981, Blue: Kagerou_F (old) / Azrael DC, Red: Rogue / Caster Extra
Match ID:789895, Blue: Kagerou_F (old) / Azrael DC, Red: Tasha / Claudette
Match ID:789892, Blue: MVC Huitzil / Eddie Dx, Red: Kagerou_F (old) / Azrael DC
Match ID:789889, Blue: EX Adamas / Exile, Red: Kagerou_F (old) / Azrael DC
Match ID:789883, Blue: Golem / Proofed Up Matt, Red: Kagerou_F (old) / Azrael DC
Match ID:789649, Blue: Antman (old), Red: Wreck-It Ralph
Match ID:789644, Blue: Master Taekuk, Red: Half Moon Sion TATARI AACC (old)
Match ID:789337, Blue: Kirito CSX, Red: Pac-Man (old)
Match ID:788681, Blue: Serena (old), Red: Sho Hayate 0D
Match ID:788675, Blue: Jason Voorhees, Red: Serena (old)
Match ID:788582, Blue: Eclipse Sion TATARI AACC (old), Red: Kitarou
Match ID:788273, Blue: Reed Richards / Mt, Red: Whip KOF-E / Kona-chan (old)
Match ID:787711, Blue: Okuni, Red: Antman (old)
Match ID:787352, Blue: El Fuerte (old), Red: Vortz 0D
Match ID:787321, Blue: Kaito, Red: Pac-Man (old)
Match ID:786979, Blue: Batman Nk, Red: Sagat (old)
Match ID:786892, Blue: Ishida Uryu ⇒ SSFIV Oni (old), Red: P-Prinny ⇒ Pyriss
Match ID:786510, Blue: Andy CSX, Red: Toki Hakurei (old)
Match ID:785969, Blue: Kagerou_F (old) ⇒ Kagerou_B ⇒ Kagelogan ⇒ Tsuyoi Kagerou, Red: Momiji ⇒ Momiji Inubashiri ⇒ T_Momiji 2nd ⇒ Momiji EX
Match ID:785961, Blue: Mima RP, Red: Kagerou_F (old)
Match ID:785853, Blue: Clone Koa, Red: Kagerou_F (old)
Match ID:785678, Blue: Okina / Yuyuko Kurogane (old), Red: Precious Memories / Eiji 98
Match ID:785660, Blue: Chibi Elque, Red: Bowser SSBB (old)
Match ID:785620, Blue: Kagerou_F (old), Red: Shantae
Match ID:785583, Blue: Shizuha Aki (old), Red: Silhouette
Match ID:785420, Blue: Kagerou_F (old), Red: Rachel
Match ID:785212, Blue: Rimul Aileron (old) / Nicotine, Red: EX Apollo / Tung Fu Rue XI
Match ID:784746, Blue: God-O-Mite, Red: Eclipse Sion TATARI AACC (old)
Match ID:784610, Blue: Kagerou_F (old), Red: Irisu-san
Match ID:784604, Blue: Knuckles L6 (old) ⇒ Main Man Knuckles ⇒ Michael Jackson, Red: Slenderman ⇒ Kurosawa Yuichi ⇒ Zako Ryo KOF02UM
Match ID:784126, Blue: Devil Lilia ⇒ Luigi ⇒ NicoTV ⇒ Crescent Michael Roa Valdamjong AA, Red: Zamasu Corrupted ⇒ Prisman ⇒ Cyberking ⇒ Full Moon Sion TATARI AACC (old)
Match ID:784038, Blue: Yuka Takeuchi ⇒ Sash Lilac ⇒ Strawbelly Jam, Red: Mizuchi-A ⇒ Yang MC ⇒ Vectorman (old)
Match ID:783923, Blue: Knyacki, Red: Crescent Sion TATARI AACC (old)
Match ID:783644, Blue: Satsuki Yumiduka SLN ⇒ Sattin (old) ⇒ Sattin (old) ⇒ Sattin (old), Red: Satsuki VP ⇒ Sattin (old) ⇒ Sattin (old) ⇒ Sattin (old)
Match ID:783552, Blue: Ryuken, Red: Antman (old)
Match ID:782979, Blue: Full Moon Sion TATARI AACC (old), Red: Saikyo Cirno
Match ID:782975, Blue: Full Moon Sion TATARI AACC (old), Red: Hraesvelgr
Match ID:782922, Blue: Half Moon Sion TATARI AACC (old), Red: Raco
Match ID:782916, Blue: Full Moon Sion TATARI AACC (old), Red: Miyako Yoshika
Match ID:782890, Blue: Full Moon Sion TATARI AACC (old), Red: Kirakira
Match ID:782875, Blue: Marihana, Red: Full Moon Sion TATARI AACC (old)
Match ID:782841, Blue: Gochak Bigbomb 0D, Red: Full Moon Sion TATARI AACC (old)
Match ID:782836, Blue: Lucky Colt 0D, Red: Full Moon Sion TATARI AACC (old)
Match ID:782778, Blue: Selen, Red: Full Moon Sion TATARI AACC (old)
Match ID:782773, Blue: MVC2 Ryu, Red: Full Moon Sion TATARI AACC (old)
Match ID:782772, Blue: Armaggon TF, Red: Full Moon Sion TATARI AACC (old)
Match ID:782608, Blue: K-Orochi, Red: Flamme Ametryn-RF
Match ID:782598, Blue: K-Orochi, Red: Flawless Specter
Match ID:782592, Blue: K-Orochi, Red: Noriaki Kakyoin
Match ID:782584, Blue: Shingo Yabuki Lv3, Red: Baitang KOFA
Match ID:782560, Blue: Gigapowier Loves Dark Ruler, Red: K-Orochi
Match ID:782546, Blue: Dio Brando, Red: K-Orochi
Match ID:782357, Blue: El Fuerte (old), Red: Delta Warriors
